"table_name","column_name","foreign_table_name","foreign_column_name"
"requests","assigned_to","profiles","id"
"requests","customer_id","profiles","id"
"messages","request_id","requests","id"
"messages","sender_id","profiles","id"
"refresh_tokens","session_id","sessions","id"
"profiles","id","users","id"
"objects","bucket_id","buckets","id"
"saml_relay_states","flow_state_id","flow_state","id"
"saml_relay_states","sso_provider_id","sso_providers","id"
"sessions","user_id","users","id"
"sso_domains","sso_provider_id","sso_providers","id"
"mfa_amr_claims","session_id","sessions","id"
"saml_providers","sso_provider_id","sso_providers","id"
"identities","user_id","users","id"
"one_time_tokens","user_id","users","id"
"mfa_factors","user_id","users","id"
"mfa_challenges","factor_id","mfa_factors","id"
"s3_multipart_uploads_parts","bucket_id","buckets","id"
"s3_multipart_uploads_parts","upload_id","s3_multipart_uploads","id"
"s3_multipart_uploads","bucket_id","buckets","id"